NAME,B25064_001E,B25070_010E,state,county,year
"Lassen County, California",942,730,06,035,2017
"Stanislaus County, California",1049,19857,06,099,2017
"Santa Barbara County, California",1496,19661,06,083,2017
"Sonoma County, California",1456,20245,06,097,2017
"Tehama County, California",812,2149,06,103,2017
"Imperial County, California",805,5083,06,025,2017
"Mono County, California",1103,165,06,051,2017
"San Benito County, California",1369,1293,06,069,2017
"Alameda County, California",1547,64388,06,001,2017
"Sacramento County, California",1122,63993,06,067,2017
"El Dorado County, California",1122,3612,06,017,2017
"Napa County, California",1541,4150,06,055,2017
"Monterey County, California",1338,15026,06,053,2017
"San Francisco County, California",1709,42638,06,075,2017
"Sierra County, California",919,62,06,091,2017
"Tulare County, California",877,15351,06,107,2017
"Yolo County, California",1204,10318,06,113,2017
"Humboldt County, California",914,7011,06,023,2017
"Nevada County, California",1217,2785,06,057,2017
"Alpine County, California",1083,13,06,003,2017
"Madera County, California",980,3918,06,039,2017
"Mendocino County, California",1048,4141,06,045,2017
"Santa Cruz County, California",1552,12812,06,087,2017
"Trinity County, California",803,495,06,105,2017
"Los Angeles County, California",1322,536832,06,037,2017
"Riverside County, California",1251,72978,06,065,2017
"San Bernardino County, California",1182,72911,06,071,2017
"Santa Clara County, California",1955,60818,06,085,2017
"Marin County, California",1863,9802,06,041,2017
"Placer County, California",1398,9847,06,061,2017
"Siskiyou County, California",829,1822,06,093,2017
"Shasta County, California",966,7776,06,089,2017
"Solano County, California",1407,15805,06,095,2017
"Del Norte County, California",826,911,06,015,2017
"Colusa County, California",896,525,06,011,2017
"Glenn County, California",775,1057,06,021,2017
"Butte County, California",970,11331,06,007,2017
"Kings County, California",918,4528,06,031,2017
"Plumas County, California",840,617,06,063,2017
"San Luis Obispo County, California",1326,11591,06,079,2017
"Fresno County, California",931,42289,06,019,2017
"Kern County, California",933,29781,06,029,2017
"Orange County, California",1693,121986,06,059,2017
"Ventura County, California",1643,26328,06,111,2017
"Calaveras County, California",1195,1075,06,009,2017
"Sutter County, California",980,2860,06,101,2017
"San Mateo County, California",1973,25403,06,081,2017
"Tuolumne County, California",961,1620,06,109,2017
"San Joaquin County, California",1100,26855,06,077,2017
"Amador County, California",1056,932,06,005,2017
"San Diego County, California",1467,141837,06,073,2017
"Lake County, California",968,2311,06,033,2018
"Merced County, California",973,8676,06,047,2018
"Mariposa County, California",799,636,06,043,2018
"Modoc County, California",705,160,06,049,2018
"Contra Costa County, California",1702,34047,06,013,2018
"Inyo County, California",891,544,06,027,2018
